,file,folder,label
0,ambient_558_0.wav,ambient noise,0
1,ambient_189_0.wav,ambient noise,0
2,ambient_1688_0.wav,ambient noise,0
3,ambient_1259_0.wav,ambient noise,0
4,ambient_1531_0.wav,ambient noise,0
5,ambient_1574_0.wav,ambient noise,0
6,ambient_2296_0.wav,ambient noise,0
7,ambient_275_0.wav,ambient noise,0
8,ambient_2647_0.wav,ambient noise,0
9,ambient_230_0.wav,ambient noise,0
10,ambient_2602_0.wav,ambient noise,0
11,ambient_288_0.wav,ambient noise,0
12,ambient_659_0.wav,ambient noise,0
13,ambient_1158_0.wav,ambient noise,0
14,ambient_1589_0.wav,ambient noise,0
15,ambient_35_0.wav,ambient noise,0
16,ambient_1630_0.wav,ambient noise,0
17,ambient_70_0.wav,ambient noise,0
18,ambient_1675_0.wav,ambient noise,0
19,ambient_2546_0.wav,ambient noise,0
20,ambient_937_0.wav,ambient noise,0
21,ambient_174_0.wav,ambient noise,0
22,ambient_2197_0.wav,ambient noise,0
23,ambient_972_0.wav,ambient noise,0
24,ambient_2503_0.wav,ambient noise,0
25,ambient_131_0.wav,ambient noise,0
26,ambient_1494_0.wav,ambient noise,0
27,ambient_1806_0.wav,ambient noise,0
28,ambient_1045_0.wav,ambient noise,0
29,ambient_1843_0.wav,ambient noise,0
30,ambient_1000_0.wav,ambient noise,0
31,ambient_2333_0.wav,ambient noise,0
32,ambient_701_0.wav,ambient noise,0
33,ambient_2376_0.wav,ambient noise,0
34,ambient_744_0.wav,ambient noise,0
35,ambient_395_0.wav,ambient noise,0
36,ambient_1768_0.wav,ambient noise,0
37,ambient_1344_0.wav,ambient noise,0
38,ambient_1795_0.wav,ambient noise,0
39,ambient_1301_0.wav,ambient noise,0
40,ambient_892_0.wav,ambient noise,0
41,ambient_400_0.wav,ambient noise,0
42,ambient_2032_0.wav,ambient noise,0
43,ambient_445_0.wav,ambient noise,0
44,ambient_2077_0.wav,ambient noise,0
45,ambient_368_0.wav,ambient noise,0
46,ambient_1469_0.wav,ambient noise,0
47,ambient_1379_0.wav,ambient noise,0
48,ambient_478_0.wav,ambient noise,0
49,ambient_2722_0.wav,ambient noise,0
50,ambient_310_0.wav,ambient noise,0
51,ambient_784_0.wav,ambient noise,0
52,ambient_355_0.wav,ambient noise,0
53,ambient_1454_0.wav,ambient noise,0
54,ambient_1085_0.wav,ambient noise,0
55,ambient_1411_0.wav,ambient noise,0
56,ambient_1883_0.wav,ambient noise,0
57,ambient_1078_0.wav,ambient noise,0
58,ambient_779_0.wav,ambient noise,0
59,ambient_852_0.wav,ambient noise,0
60,ambient_2423_0.wav,ambient noise,0
61,ambient_2466_0.wav,ambient noise,0
62,ambient_817_0.wav,ambient noise,0
63,ambient_485_0.wav,ambient noise,0
64,ambient_1384_0.wav,ambient noise,0
65,ambient_1755_0.wav,ambient noise,0
66,ambient_1710_0.wav,ambient noise,0
67,ambient_664_0.wav,ambient noise,0
68,ambient_2256_0.wav,ambient noise,0
69,ambient_2687_0.wav,ambient noise,0
70,ambient_621_0.wav,ambient noise,0
71,ambient_2213_0.wav,ambient noise,0
72,ambient_1120_0.wav,ambient noise,0
